datetime,compound,polarity,subjectivity
04/01/2022 23:00,0.227745055,0.097141435,0.415109179
05/01/2022 00:00,0.179965177,0.097570448,0.422884674
05/01/2022 01:00,0.24444089,0.107406533,0.437499696
05/01/2022 02:00,0.254578514,0.10643234,0.414589523
05/01/2022 03:00,0.247551478,0.119085467,0.437536328
05/01/2022 04:00,0.267625954,0.11351409,0.416251077
05/01/2022 05:00,0.258657377,0.085038147,0.452441582
05/01/2022 06:00,0.237753866,0.091814455,0.407039022
05/01/2022 07:00,0.257804035,0.095863177,0.413740846
05/01/2022 08:00,0.254013825,0.122361571,0.396193458
05/01/2022 09:00,0.253476486,0.105474565,0.378850743
05/01/2022 10:00,0.238249704,0.117738941,0.437230803
05/01/2022 11:00,0.273332836,0.118622584,0.415496746
05/01/2022 12:00,0.211439315,0.083468878,0.415035378
05/01/2022 13:00,0.266429819,0.105855836,0.415055445
05/01/2022 14:00,0.240246,0.110761968,0.410825029
05/01/2022 15:00,0.229647507,0.111618281,0.425491802
05/01/2022 16:00,0.23508755,0.096553256,0.403994649
05/01/2022 17:00,0.274290542,0.124068264,0.417267474
05/01/2022 18:00,0.193386797,0.082135336,0.391732676
05/01/2022 19:00,0.218930645,0.109421876,0.408582165
05/01/2022 20:00,0.159422035,0.088974887,0.3951122
05/01/2022 21:00,0.107458466,0.078333779,0.405428016
05/01/2022 22:00,0.151702962,0.09008456,0.408160977
05/01/2022 23:00,0.155089198,0.079654402,0.410642489
06/01/2022 00:00,0.141634059,0.075392436,0.41273896
06/01/2022 01:00,0.153984572,0.067605693,0.407630189
06/01/2022 02:00,0.171256577,0.079829718,0.412245146
06/01/2022 03:00,0.193609552,0.097281059,0.405708573
06/01/2022 04:00,0.142725111,0.056875432,0.415249951
06/01/2022 05:00,0.144755921,0.096144947,0.421830216
06/01/2022 06:00,0.161754264,0.099149812,0.387937501
06/01/2022 07:00,0.148910786,0.08816816,0.402845136
06/01/2022 08:00,0.16059177,0.090449994,0.402965975
06/01/2022 09:00,0.149481391,0.100982889,0.392165592
06/01/2022 10:00,0.157169474,0.103228382,0.38317099
06/01/2022 11:00,0.164942722,0.094898526,0.402735731
06/01/2022 12:00,0.183037482,0.096555147,0.420734147
06/01/2022 13:00,0.191483829,0.09823506,0.394241785
06/01/2022 14:00,0.221732486,0.101660337,0.413925423
06/01/2022 15:00,0.190407892,0.11449856,0.407969627
06/01/2022 16:00,0.176785069,0.096500778,0.409638402
06/01/2022 17:00,0.180855424,0.101322805,0.397254527
06/01/2022 18:00,0.176371461,0.100649994,0.412732684
06/01/2022 19:00,0.189534035,0.108272967,0.409278179
06/01/2022 20:00,0.178863542,0.104085044,0.414552283
06/01/2022 21:00,0.187989974,0.063674444,0.39102415
06/01/2022 22:00,0.214325118,0.104149298,0.410155493
06/01/2022 23:00,0.153011532,0.068154166,0.398062237
07/01/2022 00:00,0.180607915,0.071892411,0.413297188
07/01/2022 01:00,0.179379767,0.101516362,0.40000848
07/01/2022 02:00,0.178108285,0.079071767,0.402048087
07/01/2022 03:00,0.151279084,0.101328233,0.411787058
07/01/2022 04:00,0.118874256,0.076831158,0.405337466
07/01/2022 05:00,0.195313867,0.10139362,0.426837872
07/01/2022 06:00,0.140487002,0.079864917,0.39106183
07/01/2022 07:00,0.137068128,0.064158008,0.423005646
07/01/2022 08:00,0.200121311,0.094032288,0.397263583
07/01/2022 09:00,0.225646038,0.131408209,0.399281692
07/01/2022 10:00,0.182519922,0.114082454,0.407605045
07/01/2022 11:00,0.169880871,0.104947497,0.395002575
07/01/2022 12:00,0.181370762,0.101797261,0.397987516
07/01/2022 13:00,0.19754781,0.093912116,0.404418007
07/01/2022 14:00,0.136401288,0.095018706,0.401087597
07/01/2022 15:00,0.192848019,0.083754646,0.40570312
07/01/2022 16:00,0.150751665,0.080882037,0.398164886
07/01/2022 17:00,0.206019413,0.111497692,0.407992294
07/01/2022 18:00,0.172346197,0.095075766,0.401017813
07/01/2022 19:00,0.1613,0.080532949,0.37994696
07/01/2022 20:00,0.199200373,0.099743046,0.407400767
07/01/2022 21:00,0.1933,0.096824053,0.410917587
07/01/2022 22:00,0.195038043,0.101337084,0.395491398
07/01/2022 23:00,0.174492716,0.090987123,0.424644011
08/01/2022 00:00,0.166758913,0.100930659,0.393641214
08/01/2022 01:00,0.209016519,0.114897651,0.426430467
08/01/2022 02:00,0.1745125,0.09770049,0.375895697
08/01/2022 03:00,0.211699513,0.120596391,0.427868631
08/01/2022 04:00,0.213455875,0.110810397,0.428918846
08/01/2022 05:00,0.193573988,0.081996523,0.439018303
08/01/2022 06:00,0.177356075,0.10384349,0.405126982
08/01/2022 07:00,0.197162857,0.097375907,0.396441841
08/01/2022 08:00,0.17422542,0.088605795,0.406470866
08/01/2022 09:00,0.177199198,0.115374129,0.387427988
08/01/2022 10:00,0.197571739,0.113645499,0.405053931
08/01/2022 11:00,0.17565225,0.097749395,0.404758231
08/01/2022 12:00,0.134645473,0.08107423,0.418818114
08/01/2022 13:00,0.15234845,0.09232399,0.425396546
08/01/2022 14:00,0.202637375,0.119440287,0.423095298
08/01/2022 15:00,0.187377571,0.097430295,0.410380241
08/01/2022 16:00,0.188198298,0.10184935,0.429317869
08/01/2022 17:00,0.144530997,0.073931306,0.418977644
08/01/2022 18:00,0.165032099,0.089640642,0.42875292
08/01/2022 19:00,0.164535722,0.083828676,0.405362395
08/01/2022 20:00,0.173967622,0.090062721,0.415818464
08/01/2022 21:00,0.150645621,0.074248932,0.410172825
08/01/2022 22:00,0.151145213,0.072103193,0.406949619
08/01/2022 23:00,0.167506512,0.086297798,0.401725305
09/01/2022 00:00,0.172898569,0.069499008,0.384589241
09/01/2022 01:00,0.196558228,0.113615895,0.422441018
09/01/2022 02:00,0.166432678,0.077261199,0.423020573
09/01/2022 03:00,0.215941707,0.108256666,0.419688782
09/01/2022 04:00,0.216067409,0.093899594,0.455168471
09/01/2022 05:00,0.189847967,0.087083865,0.419872618
09/01/2022 06:00,0.190976161,0.090233619,0.406335995
09/01/2022 07:00,0.122874085,0.08034346,0.406679412
09/01/2022 08:00,0.166920166,0.102762011,0.397174764
09/01/2022 09:00,0.222690407,0.118850058,0.424956218
09/01/2022 10:00,0.215836031,0.102614841,0.429513552
09/01/2022 11:00,0.211030601,0.111995362,0.407088972
09/01/2022 12:00,0.214287793,0.121279131,0.397663943
09/01/2022 13:00,0.202104499,0.098626625,0.407882566
09/01/2022 14:00,0.2373247,0.09728022,0.433458274
09/01/2022 15:00,0.221079518,0.113807344,0.410538763
09/01/2022 16:00,0.284624411,0.121408412,0.434578207
09/01/2022 17:00,0.190900425,0.091791463,0.409651317
09/01/2022 18:00,0.234063339,0.092575686,0.396851196
09/01/2022 19:00,0.193835957,0.099379112,0.41257008
09/01/2022 20:00,0.21859783,0.101241783,0.404081059
09/01/2022 21:00,0.197219601,0.103006439,0.432722833
09/01/2022 22:00,0.257392974,0.10673494,0.420100899
09/01/2022 23:00,0.162166736,0.07478718,0.401065038
10/01/2022 00:00,0.23168996,0.108198451,0.428680837
10/01/2022 01:00,0.186818229,0.097399852,0.409851579
10/01/2022 02:00,0.205422637,0.077025386,0.415695276
10/01/2022 03:00,0.231904918,0.102242907,0.432607535
10/01/2022 04:00,0.197779213,0.087644364,0.433660244
10/01/2022 05:00,0.236576433,0.108562223,0.402808534
10/01/2022 06:00,0.244551613,0.103658408,0.426147154
10/01/2022 07:00,0.226695798,0.088892137,0.40854406
10/01/2022 08:00,0.197421538,0.1155438,0.376610844
10/01/2022 09:00,0.229224543,0.13163051,0.416353122
10/01/2022 10:00,0.198919619,0.117445012,0.385563537
10/01/2022 11:00,0.222041667,0.100706444,0.420049334
10/01/2022 12:00,0.143060381,0.086803376,0.402679378
10/01/2022 13:00,0.162048472,0.086488,0.412092501
10/01/2022 14:00,0.164253067,0.08856081,0.415520733
10/01/2022 15:00,0.184042928,0.090997225,0.400212747
10/01/2022 16:00,0.213666988,0.110449387,0.397860002
10/01/2022 17:00,0.217714651,0.095101786,0.407547219
10/01/2022 18:00,0.169881552,0.081100216,0.411441068
10/01/2022 19:00,0.211108499,0.090132147,0.415213811
10/01/2022 20:00,0.229881458,0.095859297,0.404028903
10/01/2022 21:00,0.217939892,0.097784839,0.383101628
10/01/2022 22:00,0.214110999,0.096571602,0.384774597
10/01/2022 23:00,0.180467062,0.065977822,0.391994717
11/01/2022 00:00,0.200288487,0.086504024,0.403872772
11/01/2022 01:00,0.214591909,0.10394028,0.437824107
11/01/2022 02:00,0.259376424,0.120718065,0.396308312
11/01/2022 03:00,0.229014815,0.091127895,0.416272815
11/01/2022 04:00,0.270661125,0.102457171,0.412392192
11/01/2022 05:00,0.200842857,0.128688019,0.424143402
11/01/2022 06:00,0.242185219,0.09673658,0.419484451
11/01/2022 07:00,0.22169349,0.098667522,0.40536834
11/01/2022 08:00,0.2403189,0.130251616,0.40795279
11/01/2022 09:00,0.229671164,0.101978611,0.378593723
11/01/2022 10:00,0.224644504,0.087176395,0.362303711
11/01/2022 11:00,0.258270316,0.106330483,0.407813409
11/01/2022 12:00,0.235764432,0.101325458,0.414199468
11/01/2022 13:00,0.243313265,0.108184447,0.413552349
11/01/2022 14:00,0.251947808,0.121976111,0.390783077
11/01/2022 15:00,0.228335201,0.086710643,0.38080556
11/01/2022 16:00,0.21928168,0.107501899,0.395559052
11/01/2022 17:00,0.202168025,0.110933509,0.398907163
11/01/2022 18:00,0.225412563,0.11914157,0.397355043
11/01/2022 19:00,0.184910936,0.076552802,0.393838339
11/01/2022 20:00,0.178642503,0.090957073,0.385131276
11/01/2022 21:00,0.232754531,0.121164194,0.388124821
11/01/2022 22:00,0.235584178,0.100182527,0.402007556
11/01/2022 23:00,0.221431034,0.106743876,0.396420253
12/01/2022 00:00,0.231273084,0.098904758,0.414154972
12/01/2022 01:00,0.212484615,0.114637075,0.406522178
12/01/2022 02:00,0.202065714,0.081189005,0.387834911
12/01/2022 03:00,0.211992202,0.090572451,0.401089914
12/01/2022 04:00,0.250617568,0.092142172,0.393837284
12/01/2022 05:00,0.229280986,0.097158668,0.431838562
12/01/2022 06:00,0.221062634,0.097430208,0.399581543
12/01/2022 07:00,0.259615776,0.126181356,0.381948062
12/01/2022 08:00,0.231604156,0.135250039,0.402590821
12/01/2022 09:00,0.234702639,0.08583083,0.382481651
12/01/2022 10:00,0.207995216,0.098102513,0.377584598
12/01/2022 11:00,0.209335644,0.10114887,0.370514789
12/01/2022 12:00,0.216785537,0.118735618,0.391783147
12/01/2022 13:00,0.237284514,0.108602656,0.383243778
12/01/2022 14:00,0.252519286,0.120178389,0.394888668
12/01/2022 15:00,0.225191494,0.110268429,0.39433956
12/01/2022 16:00,0.262930549,0.125741695,0.406450774
12/01/2022 17:00,0.242399402,0.102363862,0.398096828
12/01/2022 18:00,0.252702941,0.099709876,0.388648007
12/01/2022 19:00,0.225810098,0.094964038,0.407085896
12/01/2022 20:00,0.25725749,0.089944853,0.419631708
12/01/2022 21:00,0.223405959,0.100691559,0.390065746
12/01/2022 22:00,0.206544332,0.100590975,0.377054418
12/01/2022 23:00,0.261138821,0.118893732,0.379721305
13/01/2022 00:00,0.215620124,0.106292639,0.40619127
13/01/2022 01:00,0.262556479,0.119106187,0.389840013
13/01/2022 02:00,0.20256014,0.096305656,0.401027942
13/01/2022 03:00,0.245722927,0.094848552,0.403834887
13/01/2022 04:00,0.224274022,0.093256575,0.402349252
13/01/2022 05:00,0.262615029,0.104238463,0.401254879
13/01/2022 06:00,0.262004587,0.122360305,0.400941692
13/01/2022 07:00,0.277153459,0.115726801,0.429568555
13/01/2022 08:00,0.244056635,0.126256537,0.389103887
13/01/2022 09:00,0.264630914,0.151028723,0.422647638
13/01/2022 10:00,0.19330544,0.091885664,0.36277898
13/01/2022 11:00,0.24093228,0.122848044,0.379633944
13/01/2022 12:00,0.221576882,0.089787522,0.39510048
13/01/2022 13:00,0.275571574,0.10982983,0.390246463
13/01/2022 14:00,0.293037674,0.134375321,0.429169692
13/01/2022 15:00,0.23071019,0.115836029,0.405789248
13/01/2022 16:00,0.254782853,0.112117986,0.410503503
13/01/2022 17:00,0.220149603,0.111074071,0.42207772
13/01/2022 18:00,0.269738822,0.110568622,0.389017218
13/01/2022 19:00,0.236058086,0.08885798,0.393379257
13/01/2022 20:00,0.238311494,0.104558937,0.404239
13/01/2022 21:00,0.257041584,0.115735055,0.387721581
13/01/2022 22:00,0.223733698,0.075905843,0.3944923
13/01/2022 23:00,0.187521718,0.097533206,0.390141438
