datetime,compound,polarity,subjectivity
05/01/2022 00:00,0.139252594,0.082644685,0.372869458
05/01/2022 01:00,0.194235859,0.090050717,0.3820115
05/01/2022 02:00,0.199968612,0.0882689,0.35832611
05/01/2022 03:00,0.181091712,0.092220732,0.357046415
05/01/2022 04:00,0.208271287,0.093585527,0.358543153
05/01/2022 05:00,0.193201224,0.06996661,0.378997627
05/01/2022 06:00,0.184497,0.077639619,0.350690009
05/01/2022 07:00,0.194897603,0.080784181,0.354872865
05/01/2022 08:00,0.193746924,0.099894647,0.349825702
05/01/2022 09:00,0.190847082,0.087978244,0.328345976
05/01/2022 10:00,0.179750893,0.094153028,0.367918688
05/01/2022 11:00,0.201561478,0.092331916,0.347640434
05/01/2022 12:00,0.151551879,0.065454656,0.345822621
05/01/2022 13:00,0.207884136,0.084627078,0.364805164
05/01/2022 14:00,0.178931976,0.087345206,0.349488006
05/01/2022 15:00,0.16867294,0.091366439,0.363505006
05/01/2022 16:00,0.180298152,0.079429153,0.36201359
05/01/2022 17:00,0.209549518,0.097531349,0.361533155
05/01/2022 18:00,0.144583605,0.062039643,0.334370421
05/01/2022 19:00,0.165677245,0.09074364,0.352415517
05/01/2022 20:00,0.118322597,0.07287473,0.338989356
05/01/2022 21:00,0.079039048,0.061283985,0.344954518
05/01/2022 22:00,0.112382562,0.07107596,0.342484931
05/01/2022 23:00,0.112235604,0.065976446,0.344708617
06/01/2022 00:00,0.10855368,0.066002155,0.367151901
06/01/2022 01:00,0.118436893,0.059458341,0.358977435
06/01/2022 02:00,0.131606957,0.065945039,0.366777685
06/01/2022 03:00,0.14493676,0.078540688,0.344965213
06/01/2022 04:00,0.106137017,0.042711734,0.353465463
06/01/2022 05:00,0.10974015,0.07707277,0.363130297
06/01/2022 06:00,0.124204167,0.088022624,0.3370057
06/01/2022 07:00,0.114401966,0.067935497,0.356929857
06/01/2022 08:00,0.118195543,0.075247812,0.345712559
06/01/2022 09:00,0.112355294,0.081186306,0.342932907
06/01/2022 10:00,0.120089276,0.087186459,0.337008718
06/01/2022 11:00,0.125142617,0.077529874,0.35441158
06/01/2022 12:00,0.135590672,0.078515328,0.358115088
06/01/2022 13:00,0.141634037,0.07645367,0.341017159
06/01/2022 14:00,0.167071951,0.082670427,0.359512235
06/01/2022 15:00,0.142844526,0.093153035,0.352344418
06/01/2022 16:00,0.126757095,0.076055756,0.336739807
06/01/2022 17:00,0.136116734,0.082935923,0.346488949
06/01/2022 18:00,0.130601352,0.080967195,0.350293112
06/01/2022 19:00,0.142591713,0.086459872,0.355029093
06/01/2022 20:00,0.132721932,0.082236178,0.35201938
06/01/2022 21:00,0.143230456,0.054604175,0.334547992
06/01/2022 22:00,0.16093452,0.083297439,0.349586705
06/01/2022 23:00,0.117117654,0.053042148,0.340176515
07/01/2022 00:00,0.134805331,0.058620619,0.354270855
07/01/2022 01:00,0.140980428,0.082653458,0.356641053
