,Open,High,Low,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
2022-01-01 00:00:00,46210.57,46729.73,46210.55,46650.01,8957.465,71.0,0.228458706,0.127819389,0.399376669,1314.0,0.816894118,0.10628451,0.46497127
2022-01-01 01:00:00,46650.0,46944.56,46570.34,46766.78,7276.249,74.22727272727272,0.235804483,0.115224716,0.380319494,1064.0,0.5239,0.165465883,0.469432527
2022-01-01 02:00:00,46767.44,46917.87,46709.44,46796.14,4478.713,74.22727272727272,0.216377126,0.094649107,0.391374987,986.0,0.415685714,-0.003025026,0.499500234
2022-01-01 03:00:00,46796.15,46888.0,46746.32,46789.56,4208.992,61.31818181818181,0.254585393,0.124391223,0.376654412,942.0,0.323871429,0.129556786,0.461580638
2022-01-01 04:00:00,46789.55,46868.74,46605.0,46690.81,6149.298,61.31818181818181,0.199023262,0.106416365,0.40529266,832.0,0.71775,0.108311156,0.42214584
2022-01-01 05:00:00,46690.81,47566.66,46657.99,47184.18,14988.008,53.25,0.272675269,0.18227909,0.426753354,863.0,0.621266667,0.086104234,0.461059103
2022-01-01 06:00:00,47184.19,47314.4,46914.84,46972.19,7474.84,62.93181818181818,0.248843,0.138871725,0.390618752,749.0,0.32085,0.088335713,0.469543091
2022-01-01 07:00:00,46972.19,47247.44,46867.0,47186.83,6227.873,66.1590909090909,0.217157823,0.115935108,0.414908053,752.0,0.727014286,0.207419752,0.455523461
2022-01-01 08:00:00,47186.83,47338.0,47060.74,47117.84,6294.515,69.38636363636363,0.257452804,0.146324203,0.387798857,1047.0,0.29505,0.057415069,0.445008159
2022-01-01 09:00:00,47118.78,47200.0,46920.02,47137.37,5512.434,69.38636363636363,0.247964324,0.136673976,0.399418024,867.0,0.77375,0.130176851,0.458016655
2022-01-01 10:00:00,47137.01,47293.76,46700.09,46864.09,11859.238,74.22727272727272,0.213742939,0.10650815,0.359005427,814.0,0.761383333,0.069307845,0.477883937
2022-01-01 11:00:00,46867.57,47003.92,46750.0,46755.01,5755.1,74.22727272727272,0.233421134,0.114649147,0.354844596,870.0,0.678973333,0.139225673,0.436456386
2022-01-01 12:00:00,46755.01,47148.0,46755.01,47062.37,6002.673,69.38636363636363,0.174651169,0.107464488,0.35893258,945.0,0.4556,0.138358224,0.492848721
2022-01-01 13:00:00,47062.37,47200.0,46907.65,47005.55,5855.182,67.77272727272727,0.200161419,0.102792849,0.362182667,1024.0,0.49748,0.182356076,0.518040191
2022-01-01 14:00:00,47005.55,47105.19,46830.23,46909.2,5335.895,64.54545454545455,0.229066365,0.092945332,0.33992788,1107.0,0.8069,0.160143029,0.481314919
2022-01-01 15:00:00,46909.2,47488.64,46860.2,47194.78,11099.98,66.1590909090909,0.225803531,0.124067135,0.372319893,1252.0,0.73985,0.167644213,0.448313663
2022-01-01 16:00:00,47194.77,47500.0,47157.59,47249.99,8978.195,71.0,0.217005384,0.11089542,0.343746765,1338.0,0.707645455,0.121286838,0.556709163
2022-01-01 17:00:00,47250.0,47943.77,47220.03,47733.16,13824.724,75.84090909090908,0.22129924,0.084052557,0.346476007,1590.0,0.613447059,0.086516618,0.40447026
2022-01-01 18:00:00,47733.16,47832.04,47400.44,47546.74,9854.73,71.0,0.169680938,0.090271938,0.349992288,1349.0,0.776481818,0.14988475,0.466995561
