,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
02/01/2022 05:00,47077.7,7534.557,66.15909091,0.254373315,0.112029503,0.427687845,955,0.878170657,0.090819477,0.467209412
02/01/2022 06:00,47122.49,5991.521,67.77272727,0.222334884,0.087837647,0.41496896,828,0.621034226,0.090037721,0.362404578
02/01/2022 07:00,47171.04,4750.668,61.31818182,0.248069686,0.117051494,0.42464173,808,0.72125429,0.118082103,0.535960352
02/01/2022 08:00,47211.36,5703.105,71,0.226629041,0.121729022,0.417158144,1162,0.852985986,0.151282212,0.49718985
02/01/2022 09:00,47263.18,8015.488,67.77272727,0.223089109,0.093298079,0.416715512,895,0.596855528,0.129282847,0.470657531
02/01/2022 10:00,47175.95,3869.99,71,0.230379464,0.088708521,0.402199961,1019,0.665245343,0.175152637,0.477533439
02/01/2022 11:00,47231.3,4619.824,64.54545455,0.283159367,0.109766331,0.429567193,1077,0.689361689,0.138890888,0.489358453
02/01/2022 12:00,47279.57,9127.342,67.77272727,0.213995704,0.127446105,0.396490909,1118,0.654038876,0.082956577,0.463387139
02/01/2022 13:00,47133.07,5431.669,61.31818182,0.204803805,0.108591138,0.41588961,1237,0.730273865,0.105205013,0.506369052
02/01/2022 14:00,47110.2,4712.418,66.15909091,0.216664559,0.099263633,0.40595496,1302,0.488357246,0.052865101,0.465034728
02/01/2022 15:00,47329.68,7520.711,61.31818182,0.235389703,0.109826091,0.420022446,1477,0.68587794,0.104129226,0.463495301
02/01/2022 16:00,47780,15064.059,69.38636364,0.218026657,0.094532109,0.413725907,1702,0.706301356,0.090014461,0.417893537
02/01/2022 17:00,47402.3,17209.064,69.38636364,0.218358912,0.099962762,0.413453797,1654,0.525215214,0.077612253,0.439704795
02/01/2022 18:00,47046.95,22919.292,79.06818182,0.201592319,0.091697087,0.435130109,1695,0.44239568,0.095480848,0.492243704
02/01/2022 19:00,46908.29,8671.035,67.77272727,0.188861538,0.09957047,0.42206033,1470,0.54408682,0.04010975,0.521149224
02/01/2022 20:00,47012.47,4540.095,72.61363636,0.262577643,0.114759452,0.41844747,1399,0.679789914,0.069927599,0.412002007
02/01/2022 21:00,47023.47,4366.636,75.84090909,0.247841667,0.100925732,0.414092812,1441,0.63865303,0.13881599,0.499940933
02/01/2022 22:00,47261.73,5800.066,79.06818182,0.185826055,0.083186655,0.403619153,1317,0.91078487,0.138834398,0.460506972
02/01/2022 23:00,47280,5067.558,80.68181818,0.210589924,0.095249556,0.436089682,1354,0.475178872,0.086640224,0.499879564
03/01/2022 00:00,47059.43,5586.727,75.84090909,0.251089095,0.135844807,0.433608577,1280,0.58570087,0.070029521,0.462429621
03/01/2022 01:00,47117.42,5019.993,71,0.236342282,0.120154741,0.43212623,1128,0.809136607,0.146611422,0.517494379
03/01/2022 02:00,47005.39,7658.849,75.84090909,0.243824378,0.129319462,0.409973607,1036,0.625147723,0.15064006,0.564373213
03/01/2022 03:00,46802.86,8026.312,69.38636364,0.221958127,0.108004084,0.420003635,1044,0.356293873,0.051005921,0.448695948
03/01/2022 04:00,46823.58,4363.434,69.38636364,0.267099217,0.115045919,0.388914603,999,0.857601815,0.10731732,0.512404115
03/01/2022 05:00,47083.37,9147.882,64.54545455,0.213929032,0.105811944,0.435545734,980,0.151932189,0.082830237,0.523624489
03/01/2022 06:00,46930.85,4343.975,72.61363636,0.244997082,0.131142941,0.420019125,1136,0.715515649,0.064700166,0.501650947
03/01/2022 07:00,47041.11,3477.953,64.54545455,0.231198876,0.112846741,0.426591593,1172,0.683080787,0.098173908,0.505330057
03/01/2022 08:00,46970.01,4450.578,69.38636364,0.262988391,0.178999243,0.434625778,1436,0.394561143,0.039841495,0.361324974
03/01/2022 09:00,46979.01,9170.446,64.54545455,0.251606127,0.165194422,0.457295025,1292,0.547596909,0.094858481,0.498722601
03/01/2022 10:00,47116.89,10762.26,67.77272727,0.268098478,0.15304284,0.392568901,1323,0.698671325,0.09809021,0.452269756
03/01/2022 11:00,47364.11,8852.296,56.47727273,0.269591833,0.196048995,0.478806402,1374,0.713198522,0.168767645,0.497585969
03/01/2022 12:00,47192.64,13865.483,71,0.260344071,0.156865587,0.461280994,1620,0.284082521,0.04250067,0.502883139
03/01/2022 13:00,47157.33,6724.003,74.22727273,0.292286526,0.197132038,0.468590024,1923,0.659584457,0.103828588,0.49778323
03/01/2022 14:00,46874.66,19751.2,74.22727273,0.290521429,0.189254796,0.460527555,2231,0.524055804,0.122860414,0.52042008
