timestep,features,google_trends_lag,tweet_volume_lag,tweet_polarity_score_lag,batch_size,neurons,layers,mean_down_f1_score,mean_up_f1_score,mean_acc,min_acc,max_acc,diff_acc,optimizer,month,consecutive,actic_func
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.530328268,0.574833704,0.555052265,0.541231127,0.570267131,0.029036005,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.574275645,0.532793805,0.555052265,0.535423926,0.569105691,0.033681765,adam,,,
15,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag'],28,28,15,200,32,1,0.591093974,0.507662749,0.553488372,0.539534884,0.562790698,0.023255814,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.507431326,0.586841849,0.553426249,0.505226481,0.572590012,0.067363531,,,,
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],10,28,15,64,32,2,0.536100743,0.567321983,0.553310105,0.533101045,0.56445993,0.031358885,rmsprop,,,
15,['Label' 'Close' 'google_trends_lag'],10,28,15,200,32,1,0.5974752,0.496124275,0.553023256,0.540697674,0.56627907,0.025581395,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.579415319,0.521589751,0.552497096,0.537746806,0.55981417,0.022067364,adam,,,
15,['Label' 'Close' 'Volume' 'google_trends_lag'],10,28,15,200,32,1,0.56346148,0.539412729,0.552148664,0.547038328,0.557491289,0.010452962,adam,6,1,linear
30,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.544567259,0.558597209,0.551925321,0.542590432,0.562427071,0.019836639,adam,6,1,linear
15,['Label' 'Close' 'google_trends_lag'],10,28,15,200,32,1,0.562108192,0.540721584,0.551916376,0.547038328,0.557491289,0.010452962,adam,6,1,linear
12,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.516709528,0.581690704,0.551800232,0.536585366,0.56329849,0.026713124,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,2,0.538658195,0.561412093,0.551335656,0.533101045,0.56562137,0.032520325,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
15,['Label' 'Close' 'volume_lag' 'google_trends_lag'],10,28,15,200,32,1,0.568933818,0.531932253,0.551219512,0.544715447,0.555168409,0.010452962,adam,6,1,linear
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],10,28,15,64,32,1,0.545319206,0.554766297,0.550522648,0.538908246,0.56213705,0.023228804,rmsprop,,,
11,['Label' 'Close' 'Volume' 'tweet_volume_lag'],10,28,15,64,32,1,0.551313906,0.547286224,0.550522648,0.542392567,0.569105691,0.026713124,rmsprop,,,
30,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.544203307,0.552573156,0.550291715,0.537922987,0.556592765,0.018669778,adam,6,1,linear
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,100,32,2,0.539731767,0.5585791,0.550174216,0.530778165,0.56562137,0.034843206,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.547936996,0.550225297,0.549593496,0.523809524,0.570267131,0.046457607,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,48,2,0.567297526,0.517783212,0.549593496,0.526132404,0.577235772,0.051103368,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x2b3750a90>,6,1,
11,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tweet_volume']",10,28,15,64,32,1,0.532300366,0.561310358,0.54912892,0.544715447,0.554006969,0.009291521,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'Open' 'High' 'Low' 'Change' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity']",10,28,15,200,48,1,0.567932234,0.521537126,0.54912892,0.533101045,0.56213705,0.029036005,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x1772bd370>,6,1,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,1,0.543639146,0.550872079,0.548664344,0.535423926,0.573751452,0.038327526,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,1,0.540803265,0.5554902,0.5485482,0.541231127,0.55981417,0.018583043,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.547794773,0.545297087,0.548199768,0.538908246,0.56213705,0.023228804,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,100,32,2,0.563757794,0.53094288,0.548083624,0.535423926,0.558652729,0.023228804,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.578499249,0.511849883,0.54796748,0.524970964,0.56562137,0.040650407,adam,,,
11,"['Label' 'Close' 'Volume' 'Open' 'High' 'Low' 'Change' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity']",10,28,15,200,48,2,0.537150741,0.53639175,0.54796748,0.529616725,0.558652729,0.029036005,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x1772bd370>,6,1,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.55657392,0.535050053,0.547735192,0.530778165,0.567944251,0.037166086,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.525603018,0.566316491,0.547502904,0.544715447,0.549361208,0.004645761,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,80,32,1,0.558128628,0.534623793,0.547038328,0.528455285,0.557491289,0.029036005,adam,,,
15,['Label' 'Close' 'Volume' 'google_trends_lag'],10,28,15,200,32,1,0.54987896,0.543848542,0.547038328,0.540069686,0.550522648,0.010452962,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tweet_volume']",10,28,15,64,32,1,0.518857371,0.566091955,0.546806039,0.537746806,0.556329849,0.018583043,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.571479345,0.518351228,0.546806039,0.536585366,0.55981417,0.023228804,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,2,0.550878119,0.540601719,0.546341463,0.536585366,0.558652729,0.022067364,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.545851297,0.545449139,0.546341463,0.528455285,0.55981417,0.031358885,adam,6,1,relu
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.583090231,0.501397337,0.546225319,0.530778165,0.56562137,0.034843206,adam,,,
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,28,15,64,32,1,0.566278999,0.520844446,0.546109175,0.536585366,0.556329849,0.019744483,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,80,32,2,0.579442342,0.502691847,0.545993031,0.530778165,0.56213705,0.031358885,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.519893106,0.562796943,0.545760743,0.516840883,0.566782811,0.049941928,rmsprop,,,
15,['Label' 'Close' 'tw_polarity'],28,28,15,200,32,1,0.584496041,0.497023913,0.545348837,0.53255814,0.562790698,0.030232558,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'Open' 'High' 'Low' 'Change' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity']",10,28,15,64,48,1,0.477326887,0.59534454,0.545180023,0.527293844,0.56562137,0.038327526,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x1772bd370>,6,1,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,2,0.548285654,0.540753342,0.545180023,0.543554007,0.548199768,0.004645761,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,100,32,2,0.545443016,0.543088896,0.545063879,0.508710801,0.56562137,0.056910569,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_compound' 'tw_polarity']",10,28,15,64,32,2,0.480559529,0.586374184,0.544947735,0.520325203,0.55981417,0.039488966,rmsprop,,,
11,['Label' 'Close' 'Volume' 'tweet_volume_lag'],10,28,15,64,32,2,0.491071527,0.581107642,0.544947735,0.523809524,0.56097561,0.037166086,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 're_compound' 're_polarity' 're_subjectivity']",10,28,15,64,32,2,0.450926095,0.610926392,0.544715447,0.527293844,0.55981417,0.032520325,rmsprop,,,
15,['Label' 'Close' 'tweet_volume_lag'],28,28,15,200,32,1,0.564953621,0.521790501,0.544418605,0.53255814,0.556976744,0.024418605,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tweet_volume']",10,28,15,64,32,2,0.512535133,0.570352138,0.544250871,0.541231127,0.552845528,0.011614402,rmsprop,,,
15,['Label' 'Close' 'tw_polarity_lag'],10,28,15,200,32,1,0.568137529,0.516405714,0.543953488,0.540697674,0.545348837,0.004651163,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity_lag' 'tw_polarity']",10,28,15,200,32,1,0.520420636,0.564297962,0.543653251,0.530959752,0.560371517,0.029411765,adam,6,1,linear
10,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.5062719,0.575231883,0.54361949,0.534802784,0.564965197,0.030162413,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_compound' 'tw_polarity']",10,28,15,64,32,1,0.563685497,0.515762035,0.543554007,0.529616725,0.56097561,0.031358885,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,100,32,1,0.551931051,0.534289094,0.543437863,0.524970964,0.555168409,0.030197445,adam,,,
11,['Label' 'Close' 'Volume' 'google_trends_lag'],10,28,15,64,32,1,0.555197988,0.529639874,0.543321719,0.534262485,0.56445993,0.030197445,rmsprop,,,
15,['Label' 'Close' 'tweet_volume'],28,28,15,200,32,1,0.573523196,0.507626042,0.543255814,0.534883721,0.554651163,0.019767442,adam,6,1,linear
5,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,1,15,64,32,1,0.54713097,0.537665681,0.543055556,0.532407407,0.552083333,0.019675926,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.544612962,0.53535126,0.542624855,0.493612079,0.574912892,0.081300813,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.55310737,0.524886111,0.541927991,0.520325203,0.566782811,0.046457607,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,80,32,2,0.563797062,0.515826677,0.541695703,0.526132404,0.551684088,0.025551684,adam,,,
1,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,2,0.533653706,0.549163846,0.541599073,0.538818076,0.544611819,0.005793743,adam,6,1,linear
15,['Label' 'Close'],10,28,15,200,32,1,0.570904643,0.506987888,0.541395349,0.529069767,0.551162791,0.022093023,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tweet_volume']",10,28,15,64,32,2,0.494713538,0.576102442,0.540998839,0.529616725,0.558652729,0.029036005,rmsprop,,,
9,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.515204184,0.563592148,0.540835267,0.531322506,0.552204176,0.020881671,adam,,,
11,['Label' 'Close' 'Volume' 're_compound' 're_polarity' 're_subjectivity'],10,28,15,64,32,2,0.474989748,0.59025896,0.540766551,0.524970964,0.56213705,0.037166086,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.523716485,0.551550982,0.540766551,0.522648084,0.572590012,0.049941928,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
10,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.505967828,0.570469105,0.540603248,0.533642691,0.548723898,0.015081206,adam,,,
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,64,32,2,0.51467729,0.555844445,0.540534262,0.513356562,0.56445993,0.051103368,,,,
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.521558559,0.556132682,0.540232558,0.523255814,0.558139535,0.034883721,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x17a59b310>,6,1,linear
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,28,15,64,32,2,0.537403676,0.537287257,0.540069686,0.530778165,0.547038328,0.016260163,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.530019637,0.549272503,0.540069686,0.513356562,0.552845528,0.039488966,adam,6,1,relu
