Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2022-05-01 01:00:00,37614.4,37785.6,37437.7,37660.7,15995.309,2022-05-01 01:59:59,602168169.8,180498,7816.301,294361383.7,0
2022-05-01 02:00:00,37660.7,38057.1,37350.0,37914.1,21282.478,2022-05-01 02:59:59,802678148.9,227169,10355.236,390839738.2,0
2022-05-01 03:00:00,37914.9,38030.0,37745.8,37798.6,9499.959,2022-05-01 03:59:59,359968340.2,101637,4789.181,181491936.7,0
2022-05-01 04:00:00,37798.6,38048.0,37785.0,38021.2,6274.018,2022-05-01 04:59:59,238038216.5,70805,3298.381,125139200.7,0
2022-05-01 05:00:00,38021.3,38037.0,37868.8,37930.0,4984.102,2022-05-01 05:59:59,189151661.4,65214,2103.935,79844471.07,0
2022-05-01 06:00:00,37930.0,38159.0,37895.8,38044.1,7204.451,2022-05-01 06:59:59,274193704.7,91021,3754.519,142883710.5,0
2022-05-01 07:00:00,38044.0,38135.6,37925.0,37935.4,4850.251,2022-05-01 07:59:59,184406765.8,58382,2430.168,92410602.36,0
2022-05-01 08:00:00,37935.4,37977.6,37880.0,37944.1,4096.481,2022-05-01 08:59:59,155380394.9,51326,2167.156,82205752.51,0
2022-05-01 09:00:00,37944.0,38039.0,37920.8,38016.4,3698.08,2022-05-01 09:59:59,140512405.0,56510,2050.4,77907449.63,0
2022-05-01 10:00:00,38016.5,38039.0,37834.2,37956.3,4782.881,2022-05-01 10:59:59,181465549.0,64818,2238.466,84936666.05,0
2022-05-01 11:00:00,37956.3,38084.9,37938.0,38015.4,4980.162,2022-05-01 11:59:59,189346628.7,70686,2754.881,104747913.5,0
2022-05-01 12:00:00,38015.4,38041.4,37889.1,37922.1,5231.83,2022-05-01 12:59:59,198550640.4,69085,2508.908,95216935.05,0
2022-05-01 13:00:00,37922.0,38017.5,37812.0,37959.2,6174.123,2022-05-01 13:59:59,234097434.6,76117,3093.204,117307323.4,0
2022-05-01 14:00:00,37959.2,38006.0,37899.0,37909.4,3788.042,2022-05-01 14:59:59,143760237.5,50784,1870.732,70996262.47,0
2022-05-01 15:00:00,37909.4,38015.0,37883.0,37975.0,6919.09,2022-05-01 15:59:59,262604697.4,68847,3715.012,141011000.3,0
2022-05-01 16:00:00,37975.0,38680.6,37959.9,38470.2,27092.136,2022-05-01 16:59:59,1037191438.0,237777,14945.159,572173605.9,0
2022-05-01 17:00:00,38470.4,38666.0,38363.0,38489.3,16526.482,2022-05-01 17:59:59,636748602.8,174929,8245.46,317721834.3,0
2022-05-01 18:00:00,38489.4,38576.5,38357.0,38380.0,7367.52,2022-05-01 18:59:59,283284707.1,84083,3857.642,148329707.6,0
2022-05-01 19:00:00,38380.0,38416.2,37891.8,37920.1,14904.775,2022-05-01 19:59:59,568718914.4,159429,6684.651,255155354.7,0
2022-05-01 20:00:00,37920.2,37995.1,37713.8,37790.0,15792.792,2022-05-01 20:59:59,597571015.1,163950,7600.452,287644036.7,0
2022-05-01 21:00:00,37789.9,38322.5,37625.0,38285.9,11295.672,2022-05-01 21:59:59,428334450.6,123350,6060.411,229928751.9,0
2022-05-01 22:00:00,38286.0,38415.7,38044.9,38327.1,13286.446,2022-05-01 22:59:59,508254699.9,149180,6579.43,251726478.8,0
2022-05-01 23:00:00,38327.1,38572.5,38193.6,38288.1,10067.968,2022-05-01 23:59:59,386536717.5,98197,5198.208,199586532.6,0
2022-05-02 00:00:00,38288.2,38600.0,38218.0,38440.5,10454.414,2022-05-02 00:59:59,401747118.9,127824,5372.69,206487995.2,0
2022-05-02 01:00:00,38440.2,38809.0,38418.4,38648.9,14590.259,2022-05-02 01:59:59,563680971.4,151015,7757.539,299741822.9,0
2022-05-02 02:00:00,38648.9,38718.8,38465.5,38476.4,6720.646,2022-05-02 02:59:59,259392948.2,80477,3238.269,124997468.6,0
2022-05-02 03:00:00,38476.4,38638.0,38340.0,38598.9,9090.418,2022-05-02 03:59:59,349801993.1,87725,4711.463,181329081.0,0
2022-05-02 04:00:00,38598.9,38696.7,38598.9,38653.7,5569.974,2022-05-02 04:59:59,215253599.1,62404,2613.811,101016086.3,0
2022-05-02 05:00:00,38653.6,39100.0,38572.8,38950.3,15686.796,2022-05-02 05:59:59,609104593.4,140897,9447.429,366938505.1,0
2022-05-02 06:00:00,38951.7,39024.7,38867.1,38989.4,8824.483,2022-05-02 06:59:59,343694836.6,107182,4435.593,172759647.7,0
2022-05-02 07:00:00,38989.4,39155.0,38907.5,38913.0,10075.962,2022-05-02 07:59:59,393034640.0,110074,5191.566,202562777.0,0
2022-05-02 08:00:00,38913.1,39033.1,38808.1,38869.6,8909.475,2022-05-02 08:59:59,347057213.0,100071,4427.22,172495308.2,0
2022-05-02 09:00:00,38869.6,38988.9,38751.0,38911.5,12001.373,2022-05-02 09:59:59,466574710.0,127566,6185.453,240495133.4,0
2022-05-02 10:00:00,38911.2,39073.0,38764.8,38768.9,9304.823,2022-05-02 10:59:59,362030777.0,109102,4868.413,189461156.3,0
2022-05-02 11:00:00,38768.9,38860.0,38634.4,38702.1,10478.776,2022-05-02 11:59:59,406123758.4,114138,5147.466,199533563.0,0
2022-05-02 12:00:00,38702.2,38755.0,38460.0,38516.0,13544.486,2022-05-02 12:59:59,522844082.6,139111,6250.501,241357854.7,0
2022-05-02 13:00:00,38515.9,38696.1,38411.0,38489.0,13208.401,2022-05-02 13:59:59,509261836.7,142832,7100.61,273788820.2,0
2022-05-02 14:00:00,38488.9,39222.0,38218.0,38908.7,48628.782,2022-05-02 14:59:59,1883639666.0,440400,25520.477,988982958.7,0
2022-05-02 15:00:00,38908.7,39108.4,38579.9,38835.0,29615.822,2022-05-02 15:59:59,1150970671.0,305522,14777.226,574454075.5,0
2022-05-02 16:00:00,38834.9,38892.9,38600.0,38692.1,14459.336,2022-05-02 16:59:59,560086890.1,167586,7087.209,274543919.8,0
